City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
117,Awjilah,LY,85.35,clear sky,29.1081,21.2869,
121,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
124,Kloulklubed,PW,84.13,broken clouds,7.0419,134.2556,Storyboard Beach Resort
125,Severo-Kurilsk,RU,55.92,scattered clouds,50.6789,156.125,Апартаменты/Квартиры посуточно
126,Katsuura,JP,68.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
127,Moyale,KE,72.54,overcast clouds,3.5167,39.0584,La Tahzan Guest House
128,Wenling,CN,79.88,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
129,Batamshinskiy,KZ,67.98,few clouds,50.5594,58.2747,
130,Thompson,CA,77.16,scattered clouds,55.7435,-97.8558,Burntwood Hotel
131,Tezu,IN,76.28,overcast clouds,27.9167,96.1667,Circuit House
132,Sladkovicovo,SK,78.89,overcast clouds,48.2014,17.6385,Hotel Tevel
134,Sao Filipe,CV,76.91,overcast clouds,14.8961,-24.4956,Hotel Xaguate
135,Ponta Do Sol,PT,84.83,clear sky,32.6667,-17.1,Hotel do Campo
136,Bethel,US,83.46,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
137,Schio,IT,80.87,clear sky,45.7124,11.3574,Schio Hotel
138,Sayville,US,84.56,broken clouds,40.7359,-73.0821,La Quinta Inn & Suites by Wyndham Islip - MacArthur Airport
140,Dwarka,IN,81.1,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
141,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
143,Sirjan,IR,82.63,clear sky,29.452,55.6814,MAPNA Building
144,Fortuna,US,73.92,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
145,Kodiak,US,62.11,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
147,Hithadhoo,MV,82.89,overcast clouds,-0.6,73.0833,Scoop Guest House
149,Ostrovnoy,RU,54.09,overcast clouds,68.0531,39.5131,
150,Syedove,UA,72.61,scattered clouds,47.0768,38.156,Зеленый дворик - 37
151,Tsaratanana,MG,63.19,clear sky,-16.7833,47.65,
152,Namibe,AO,65.75,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
153,Limenaria,GR,78.94,clear sky,40.6261,24.5786,Thalassies Hotel
154,Port Hedland,AU,66.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
155,Saint Stephen,GB,62.38,broken clouds,50.3333,-4.9,4 stepaside corner
156,Boyolangu,ID,73.18,broken clouds,-8.1181,111.8935,Yos ega cv
157,Durusu,TR,76.84,clear sky,41.3053,28.6767,Çınar Pansiyon
159,Gornozavodsk,RU,54.39,few clouds,58.3758,58.3211,Hotel Ural
162,Mossendjo,CG,74.73,broken clouds,-2.9506,12.7261,HOTEL D'ASSISE
163,Arraial Do Cabo,BR,69.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
164,Khatanga,RU,55.83,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
165,Lomianki,PL,73.31,clear sky,52.3341,20.886,Hotel FORT Centrum Konferencyjno - Hotelowe
167,Dudinka,RU,55.04,broken clouds,69.4058,86.1778,Hotel Viktoria
168,Tual,ID,79.99,broken clouds,-5.6667,132.75,Grand Vilia Hotel
169,Yellowknife,CA,63.12,broken clouds,62.456,-114.3525,The Explorer Hotel
170,Lagoa,PT,71.24,overcast clouds,39.05,-27.9833,Casa Das Faias
171,Labuhan,ID,75.87,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
173,Strai,NO,55.63,clear sky,58.2,7.9,Mosterøy
175,Hornepayne,CA,83.07,scattered clouds,49.2138,-84.7705,Kay-Vee Lodge Ltd
176,Lazarev,RU,60.26,clear sky,52.225,141.5131,
179,Sao Joao Da Barra,BR,73.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
181,Acapulco,MX,85.59,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
182,Basco,PH,83.19,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
