City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
69,San Juan,AR,-31.5375,-68.5364,72.79,13,21,6.33,few clouds,0.0,0
70,Broome,US,42.2506,-75.833,78.01,55,75,1.99,broken clouds,0.0,0
71,Athens,GR,37.9795,23.7162,80.24,41,0,1.99,clear sky,0.0,0
72,Victoria,HK,22.2855,114.1577,82.36,86,64,4.54,broken clouds,0.0,0
73,Gizo,SB,-8.103,156.8419,81.7,77,83,6.73,broken clouds,0.0,0
74,Meulaboh,ID,4.1363,96.1285,75.36,89,100,8.41,moderate rain,1.33,0
75,Cayenne,GF,4.9333,-52.3333,80.64,84,0,1.01,clear sky,0.0,0
76,Port Lincoln,AU,-34.7333,135.8667,55.06,69,100,9.28,overcast clouds,0.0,0
77,Berlevag,NO,70.8578,29.0864,44.55,81,75,9.22,broken clouds,0.0,0
78,Clyde River,CA,70.4692,-68.5914,45.16,78,96,2.17,overcast clouds,0.0,0
79,Henties Bay,NA,-22.116,14.2845,55.85,89,12,2.21,few clouds,0.0,0
80,Hasaki,JP,35.7333,140.8333,68.4,84,100,15.1,overcast clouds,0.0,0
81,Sola,VU,-13.8833,167.55,77.68,78,81,26.51,broken clouds,0.0,0
82,Port Hueneme,US,34.1478,-119.1951,105.19,61,1,9.22,clear sky,0.0,0
83,Barrow,US,71.2906,-156.7887,35.62,80,90,19.57,overcast clouds,0.0,0
84,Acari,PE,-15.4311,-74.6158,69.49,62,24,7.85,few clouds,0.0,0
85,Tirunelveli,IN,8.7333,77.7,79.52,66,100,8.61,overcast clouds,0.0,0
86,Albany,US,42.6001,-73.9662,78.8,55,100,3.49,overcast clouds,0.0,0
87,Songea,TZ,-10.6833,35.65,62.26,57,85,1.43,overcast clouds,0.0,0
88,Saint-Jovite,CA,46.1186,-74.5966,71.76,46,87,2.3,overcast clouds,0.0,0
89,Butaritari,KI,3.0707,172.7902,82.8,73,25,8.84,scattered clouds,0.0,0
90,Laguna,US,38.421,-121.4238,103.24,37,1,5.75,haze,0.0,0
91,Pulandian,CN,39.3953,121.9669,73.53,93,95,4.23,overcast clouds,0.0,0
92,Aklavik,CA,68.2191,-135.0107,58.03,49,100,7.63,overcast clouds,0.0,0
93,Bredasdorp,ZA,-34.5322,20.0403,51.28,93,79,3.44,broken clouds,0.0,0
94,Weston,US,26.1004,-80.3998,88.02,74,1,1.99,clear sky,0.0,0
